Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,15829,18158
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11644,11941
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Information Technology (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,7031,7356
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,41097,57851
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,16091,18483
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8477,11675
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,4186,5632
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,26557,37459
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,10047,14812
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,7380,9537
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3931,4422
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,30474,41000
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,10868,15767
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,9497,10871
